RH_avg,RR,ss,ff_x,flood,TempRangeCategory,month
89.0,9.0,2.4,2.0,0,1,9
92.0,1.4,2.1,3.0,0,1,9
83.0,15.7,4.9,5.0,0,1,9
91.0,1.4,8.4,3.0,0,1,9
85.0,4.4,3.8,3.0,0,1,9
80.0,1.4,2.1,3.0,0,1,9
87.0,1.7,2.6,3.0,1,1,9
81.0,60.5,4.4,3.0,1,2,9
78.0,11.0,6.9,6.0,1,1,9
92.0,1.4,4.6,3.0,0,1,9
76.0,30.9,1.9,3.0,0,1,9
83.0,25.0,4.2,3.0,0,1,9
86.0,6.3,7.9,2.0,0,0,9
78.0,0.5,6.5,5.0,0,1,10
80.0,1.4,3.2,6.0,0,1,10
76.0,1.4,3.5,3.0,0,1,10
86.0,0.2,2.2,2.0,1,1,10
84.0,14.5,3.2,4.0,1,1,10
75.0,1.4,5.008160031689443,19.0,0,2,10
77.0,1.4,5.4,3.0,0,2,10
87.0,1.4,1.5,3.0,0,1,10
80.0,3.0,4.3,3.0,0,1,10
92.0,1.5,0.0,2.0,1,1,10
86.0,24.0,1.4,2.0,1,1,10
88.0,11.0,0.0,2.0,1,1,10
91.0,1.4,1.9,3.0,0,1,10
89.0,5.4,0.0,4.0,0,1,10
81.0,1.4,0.3,3.0,0,1,10
73.0,1.4,4.9,3.0,0,1,10
75.0,1.4,3.5,2.0,0,1,10
78.0,1.4,3.4,4.0,0,1,10
77.0,1.4,4.5,4.0,0,1,10
76.0,1.4,3.4,3.0,0,1,10
88.0,1.4,1.4,4.0,0,1,10
84.0,40.0,1.5,4.0,0,1,10
97.0,36.4,0.0,2.0,1,0,10
86.0,29.0,1.4,3.0,0,1,10
66.0,9.7,7.0,4.0,0,1,10
79.0,10.5,4.9,4.0,0,1,10
88.0,3.0,1.5,5.0,0,1,10
90.0,41.0,0.7,3.0,0,1,10
83.0,2.0,6.2,3.0,0,1,10
82.0,1.7,4.5,3.0,0,1,10
82.0,1.1,5.8,3.0,0,2,10
78.0,1.0,6.2,3.0,0,1,11
78.0,1.0,4.6,3.0,0,1,11
78.0,1.4,0.8,3.0,0,1,11
78.0,0.5,1.0,3.0,0,1,11
432.0,1.4,0.2,4.0,0,1,11
72.0,1.4,4.0,5.0,0,1,11
74.0,1.4,4.3,5.0,0,1,11
84.0,1.4,1.8,3.0,0,1,11
85.0,41.0,3.7,4.0,0,1,11
85.0,0.4,5.3,3.0,0,1,11
84.0,31.0,3.5,3.0,0,2,11
85.0,48.0,4.6,4.0,0,1,11
91.0,16.0,1.9,3.0,0,1,11
89.0,97.0,4.7,3.0,0,1,11
85.0,14.0,1.9,3.0,0,1,11
85.0,40.3,4.8,2.0,0,1,11
79.0,1.4,4.9,3.0,0,1,11
78.0,1.4,0.7,5.0,0,1,12
93.0,1.2,5.008160031689443,5.0,0,1,12
80.0,8.5,3.5,7.0,0,2,12
85.0,1.4,0.3,5.0,0,1,12
90.0,7.0,0.9,5.0,0,1,12
82.0,6.5,1.8,4.0,0,1,12
80.0,1.4,3.0,3.0,0,1,12
83.0,1.4,3.3,5.0,0,1,12
82.0,17.5,6.0,5.0,0,1,12
74.0,1.4,7.5,7.0,0,1,12
82.0,0.2,0.4,7.0,0,1,12
80.0,17.0,4.8,4.0,0,1,12
79.0,1.4,2.6,5.0,0,1,12
86.0,1.4,4.0,4.0,0,1,12
80.0,9.4,5.9,7.0,0,1,12
78.0,0.5,2.7,4.0,0,1,12
90.0,1.4,4.8,2.0,0,1,12
84.0,14.0,4.6,5.0,0,1,12
83.0,12.5,2.9,6.0,0,1,12
76.0,1.0,7.4,6.0,0,1,12
80.0,1.4,5.8,6.0,0,1,12
82.0,1.4,5.3,7.0,0,1,12
85.0,0.4,4.5,7.0,0,1,12
64.0,1.4,2.5,6.0,0,1,12
78.0,1.4,2.0,5.0,0,1,12
76.0,2.5,4.3,5.0,0,1,12
79.0,0.7,5.2,6.0,0,1,12
77.0,1.4,2.5,5.0,0,1,12
78.0,1.4,3.2,5.0,0,1,12
79.0,1.4,3.6,5.0,0,1,12
76.0,0.1,7.1,4.0,0,2,12
94.0,6.0,0.5,4.0,0,1,1
85.0,19.0,1.5,4.0,0,1,1
88.0,0.5,0.6,4.0,0,1,1
85.0,20.0,4.9,6.0,0,1,1
83.0,1.4,6.9,8.0,0,1,1
85.0,1.4,6.2,6.0,0,1,1
76.90393222506394,1.4,5.008160031689443,3.0,1,2,1
94.0,6.0,0.5,4.0,0,1,2
85.0,19.0,1.5,4.0,0,1,2
88.0,0.5,0.6,4.0,0,1,2
85.0,20.0,4.9,6.0,0,1,2
83.0,1.4,6.9,8.0,0,1,2
85.0,1.4,6.2,6.0,0,1,2
78.0,1.4,2.8,4.0,0,1,2
86.0,1.2,4.3,5.0,0,1,2
90.0,1.4,0.2,4.0,0,0,2
93.0,34.5,0.0,4.0,0,0,2
92.0,8.5,0.1,4.0,0,0,2
91.0,29.0,1.0,4.0,1,1,2
84.0,15.0,7.1,5.0,1,1,2
89.0,39.5,1.0,3.0,0,1,2
84.0,15.7,7.3,5.0,0,2,2
84.0,2.0,4.4,4.0,1,1,2
82.0,13.5,5.7,4.0,0,1,2
86.0,1.4,1.3,3.0,0,1,2
93.0,7.3,0.0,3.0,1,0,2
93.0,17.8,0.0,46.0,0,0,2
90.0,73.8,2.1,3.0,1,2,2
84.0,9.4,7.2,4.0,1,2,2
88.0,2.0,5.1,3.0,0,1,2
85.0,31.0,3.5,3.0,1,1,2
83.0,1.4,3.1,5.0,1,1,2
81.0,41.6,6.9,4.0,1,1,2
84.0,3.4,4.5,4.0,1,1,2
80.0,1.4,1.7,4.0,1,1,2
84.0,1.4,3.8,3.0,1,1,3
92.0,1.4,6.3,4.0,1,1,3
89.0,33.0,6.0,5.0,1,1,3
85.0,30.7,5.0,5.0,1,1,3
83.0,1.5,7.0,3.0,1,2,3
87.0,1.4,2.6,4.0,1,1,3
90.0,18.8,2.6,4.0,1,1,3
82.0,30.5,1.7,3.0,1,1,3
80.0,1.4,5.2,3.0,0,1,3
84.0,1.4,3.2,4.0,0,1,3
82.0,1.4,6.2,4.0,0,1,3
75.0,1.4,7.7,4.0,0,1,3
72.0,1.4,6.1,5.0,0,2,3
73.0,1.4,7.9,4.0,0,1,3
71.0,1.4,2.1,5.0,0,1,3
80.0,1.4,6.1,3.0,0,1,3
85.0,1.4,3.5,3.0,0,1,3
84.0,57.0,0.2,5.0,0,1,3
80.0,3.6,0.2,3.0,0,1,3
88.0,1.4,6.5,3.0,0,1,3
85.0,23.0,2.6,4.0,0,1,3
88.0,37.0,2.9,4.0,0,1,3
76.90393222506394,39.5,1.0,0.0,0,0,3
76.90393222506394,8.9,0.3,3.0,0,1,3
87.0,1.4,0.7,3.0,0,1,3
92.0,2.1,0.8,3.0,0,1,3
76.90393222506394,29.5,7.1,3.0,0,1,3
76.90393222506394,1.4,7.7,2.0,1,1,3
84.0,1.4,8.6,5.0,0,1,3
82.0,0.6,5.5,7.0,0,1,3
85.0,1.4,7.4,4.0,0,1,3
85.0,0.0,4.5,5.0,0,1,4
88.0,3.7,4.5,4.0,0,1,4
88.0,4.8,4.3,4.0,1,1,4
85.0,57.0,4.9,4.0,1,1,4
82.0,6.0,5.6,5.0,1,1,4
83.0,1.4,5.9,7.0,0,1,4
83.0,1.4,1.4,4.0,0,1,4
83.0,2.0,2.0,5.0,0,1,4
77.0,0.0,5.8,7.0,0,1,4
75.0,3.9,7.0,4.0,1,2,4
86.0,6.0,3.5,4.0,1,1,4
82.0,47.8,4.0,3.0,1,1,4
86.0,10.6,2.6,3.0,0,1,4
81.0,1.4,5.1,3.0,1,1,4
80.0,0.0,4.9,3.0,0,1,4
80.0,2.8,1.8,4.0,0,1,4
79.0,0.0,4.3,3.0,0,2,4
84.0,0.0,4.1,3.0,0,1,4
84.0,0.0,4.7,3.0,0,1,4
78.0,17.8,4.4,4.0,1,1,4
65.0,48.0,0.5,26.0,0,2,4
86.0,2.6,4.5,4.0,0,1,4
83.0,9.8,2.7,3.0,1,1,4
80.0,1.4,5.3,4.0,0,1,4
86.0,10.0,7.4,3.0,0,1,4
88.0,57.8,0.6,4.0,0,1,4
84.0,55.9,4.6,3.0,0,1,4
82.0,33.0,6.5,4.0,0,1,4
73.0,0.0,4.7,4.0,0,1,4
76.0,0.2,3.6,4.0,0,1,4
84.0,4.1,0.6,3.0,1,1,5
84.0,0.3,5.1,4.0,1,1,5
82.0,1.4,4.5,3.0,0,1,5
85.0,4.3,4.0,4.0,1,1,5
83.0,1.2,4.0,3.0,1,1,5
89.0,6.4,0.6,3.0,1,1,5
94.0,58.0,3.3,4.0,1,1,5
83.0,17.0,4.1,3.0,0,1,5
85.0,1.7,3.1,3.0,0,1,5
83.0,0.7,0.8,3.0,0,1,5
81.0,1.4,1.1,2.0,0,1,5
81.0,1.4,6.6,3.0,0,1,5
78.0,1.4,5.6,3.0,0,1,5
73.0,1.4,4.6,3.0,0,1,5
74.0,1.4,5.4,3.0,0,1,5
75.0,1.4,6.3,3.0,0,1,5
76.0,1.4,4.7,3.0,0,1,5
81.0,6.0,5.0,2.0,0,1,5
79.0,35.2,6.5,3.0,0,1,5
84.0,1.4,6.1,3.0,0,1,5
81.0,1.4,3.0,3.0,0,1,5
74.0,1.4,6.6,3.0,0,1,5
75.0,1.4,7.1,3.0,0,1,5
78.0,1.4,5.8,4.0,0,1,5
72.0,1.4,5.2,4.0,0,1,5
72.0,1.4,5.2,3.0,0,2,5
72.0,1.4,3.1,3.0,0,1,5
82.0,1.4,0.6,2.0,0,1,5
88.0,2.0,0.1,3.0,0,1,5
84.0,16.1,3.4,4.0,0,1,5
76.0,1.4,3.7,4.0,0,1,5
78.0,1.4,2.7,4.0,0,1,6
80.0,0.2,0.4,3.0,0,1,6
79.0,1.4,2.9,3.0,0,1,6
79.0,1.4,3.6,3.0,0,1,6
80.0,1.6,5.1,2.0,0,1,6
78.0,33.0,7.1,3.0,1,1,6
78.0,1.4,5.7,3.0,0,1,6
74.0,1.4,7.3,5.0,0,1,6
74.0,1.4,6.5,4.0,0,1,6
78.0,1.4,5.3,3.0,0,1,6
80.0,1.4,1.8,3.0,0,1,6
76.0,0.7,5.1,5.0,0,2,6
80.0,1.4,4.5,3.0,0,1,6
82.0,16.9,4.2,2.0,0,1,6
85.0,1.4,4.0,4.0,0,1,6
75.0,1.0,7.7,4.0,0,1,6
78.0,1.4,7.8,4.0,0,1,6
74.0,1.4,4.8,2.0,0,1,6
70.0,32.0,5.3,3.0,0,1,6
76.0,0.4,3.9,4.0,0,1,6
76.0,1.4,3.4,3.0,0,1,6
81.0,1.4,5.4,3.0,0,1,6
80.0,1.4,0.6,4.0,0,1,6
82.0,0.4,5.008160031689443,3.0,0,1,6
77.0,1.4,5.9,5.0,0,1,6
80.0,0.9,3.6,4.0,0,1,6
83.0,13.8,5.1,4.0,0,1,6
82.0,1.4,6.9,4.0,0,1,6
80.0,0.2,8.7,2.0,0,1,6
88.0,5.8,1.6,3.0,0,1,6
77.0,13.9,7.3,3.0,0,2,7
77.0,1.4,7.4,4.0,0,2,7
76.0,1.4,4.6,3.0,0,1,7
77.0,1.4,6.5,3.0,0,1,7
74.0,1.4,4.8,4.0,0,1,7
75.0,1.4,3.1,4.0,0,1,7
83.0,1.4,3.7,2.0,0,1,7
78.0,28.0,4.8,2.0,0,1,7
80.0,1.4,4.6,4.0,0,1,7
88.0,36.0,5.0,3.0,1,1,7
78.0,1.4,3.1,2.0,0,1,7
84.0,18.6,3.8,4.0,0,1,7
78.0,0.1,1.4,3.0,0,1,7
75.0,1.4,2.3,3.0,0,1,7
70.0,1.4,0.0,4.0,0,1,7
76.0,1.4,1.4,3.0,0,1,7
65.0,1.4,7.0,3.0,0,1,7
76.0,1.4,0.7,3.0,0,1,7
79.0,1.4,2.9,2.0,0,1,7
84.0,1.4,3.9,2.0,0,1,7
82.0,9.5,5.5,3.0,0,2,7
78.0,1.2,5.8,3.0,0,2,7
84.0,1.4,2.6,3.0,1,1,7
78.0,1.4,4.4,3.0,0,1,7
70.0,0.8,7.4,4.0,0,1,7
66.0,1.4,7.3,3.0,0,1,7
66.0,1.4,6.1,4.0,0,2,7
72.0,1.4,5.0,4.0,0,1,7
85.0,1.4,4.2,4.0,0,1,7
82.0,17.0,5.9,3.0,0,2,7
81.0,5.0,4.3,3.0,0,2,7
62.0,1.4,5.6,4.0,0,1,8
63.0,1.4,7.7,4.0,0,2,8
66.0,1.4,7.9,3.0,0,2,8
68.0,1.4,7.9,4.0,0,1,8
68.0,1.4,3.9,3.0,0,2,8
71.0,1.4,6.3,3.0,0,1,8
72.0,1.4,6.7,4.0,0,1,8
76.0,1.4,7.1,6.0,0,2,8
76.0,1.4,2.5,2.0,0,1,8
81.0,4.5,3.0,3.0,0,1,8
78.0,0.5,4.7,3.0,0,1,8
77.0,1.4,5.0,4.0,0,1,8
79.0,1.4,2.0,3.0,0,1,8
81.0,1.4,3.4,3.0,0,1,8
74.0,6.0,3.6,3.0,0,1,8
61.0,0.8,7.2,3.0,0,1,8
68.0,1.4,2.9,3.0,0,1,8
66.0,1.4,2.3,3.0,0,1,8
65.0,1.4,5.8,4.0,0,1,8
72.0,1.4,3.4,3.0,0,1,8
70.0,1.4,5.8,4.0,0,1,8
72.0,1.4,4.0,3.0,0,1,8
66.0,1.4,6.2,5.0,0,1,8
62.0,1.4,6.4,6.0,0,1,8
62.0,1.4,5.9,5.0,0,1,8
60.0,1.4,5.0,6.0,0,1,8
62.0,1.4,7.4,8.0,0,2,8
64.0,1.4,5.8,5.0,0,2,8
74.0,1.4,2.7,4.0,0,1,8
80.0,4.0,7.5,3.0,0,2,8
74.0,1.4,6.7,3.0,0,2,8
67.0,0.0,5.0,3.0,0,1,9
70.0,1.4,5.4,4.0,0,2,9
66.0,0.0,7.0,4.0,0,2,9
68.0,1.4,4.9,3.0,0,2,9
72.0,1.4,2.6,3.0,0,1,9
83.0,57.3,4.8,3.0,0,2,9
71.0,1.4,7.8,5.0,0,2,9
68.0,1.4,7.2,4.0,0,2,9
70.0,1.4,8.0,4.0,0,1,9
72.0,1.4,7.3,3.0,0,1,9
76.0,10.5,6.2,3.0,0,1,9
74.0,1.4,6.2,3.0,0,1,9
69.0,1.4,7.1,4.0,0,2,9
74.0,1.4,6.9,3.0,0,1,9
73.0,1.4,7.7,4.0,0,1,9
65.0,1.4,7.0,5.0,0,2,9
64.0,1.4,7.2,4.0,0,2,9
67.0,1.4,8.0,5.0,0,2,9
70.0,1.4,7.3,4.0,0,1,9
72.0,64.0,6.2,3.0,0,1,9
74.0,1.2,7.1,3.0,0,1,9
70.0,1.4,8.0,2.0,0,2,9
70.0,1.4,6.7,3.0,0,2,9
80.0,1.4,1.4,2.0,0,1,9
78.0,1.4,3.0,3.0,0,1,9
78.0,8.5,1.1,3.0,0,1,9
92.0,33.0,0.0,3.0,1,0,9
84.0,17.2,4.7,4.0,0,1,9
84.0,5.1,2.5,4.0,0,1,9
78.0,15.0,4.1,3.0,0,1,9
82.0,0.0,3.5,4.0,0,1,10
84.0,14.5,2.5,3.0,0,1,10
84.0,17.3,2.5,3.0,0,1,10
81.0,30.5,5.8,3.0,0,2,10
72.0,0.0,6.7,4.0,0,1,10
76.0,0.0,5.8,4.0,0,2,10
71.0,0.0,5.5,4.0,0,1,10
74.0,0.2,5.0,4.0,0,1,10
87.0,0.0,0.4,3.0,1,0,10
86.0,46.2,0.3,3.0,0,1,10
78.0,0.0,5.9,4.0,0,1,10
89.0,1.3,6.5,3.0,0,1,10
83.0,14.8,6.5,3.0,0,2,10
79.0,3.5,5.5,3.0,0,2,10
67.0,0.0,3.4,4.0,0,1,10
85.0,0.0,2.5,5.0,0,1,10
79.0,29.8,2.7,3.0,0,1,10
79.0,0.0,2.5,4.0,1,1,10
86.0,10.3,1.8,4.0,1,1,10
76.0,25.2,5.5,3.0,1,1,10
73.0,0.0,5.9,2.0,0,2,10
68.0,0.0,6.2,4.0,0,1,10
69.0,0.4,5.3,4.0,1,1,10
74.0,30.6,7.2,4.0,0,2,10
80.0,19.0,4.6,2.0,0,1,10
76.0,0.0,5.3,4.0,0,1,10
78.0,0.0,4.3,3.0,0,1,10
82.0,1.4,1.6,3.0,0,1,10
83.0,29.2,2.1,5.0,0,1,10
78.0,11.0,5.7,3.0,0,1,10
72.0,1.0,4.7,3.0,0,2,10
72.0,1.0,7.1,3.0,0,1,11
77.0,1.4,4.9,3.0,0,1,11
72.0,1.4,2.2,3.0,0,1,11
76.0,1.4,5.8,3.0,0,2,11
76.0,7.0,3.8,2.0,0,1,11
86.0,1.4,3.8,4.0,0,1,11
85.0,10.5,0.0,3.0,1,0,11
81.0,1.4,3.6,3.0,0,1,11
89.0,1.4,1.5,3.0,1,1,11
82.0,50.6,6.6,3.0,1,1,11
76.0,1.4,5.0,4.0,0,1,11
82.0,1.4,6.2,9.0,1,2,11
86.0,80.2,1.7,3.0,1,1,11
87.0,7.3,1.7,3.0,0,1,11
84.0,3.9,0.6,2.0,0,1,11
86.0,1.4,3.6,4.0,1,1,11
84.0,53.0,5.5,3.0,1,1,11
86.0,0.7,0.7,3.0,0,1,11
88.0,5.1,0.0,3.0,0,1,11
76.0,8.4,7.0,5.0,0,2,11
80.0,1.4,1.1,4.0,1,2,11
86.0,51.5,4.5,7.0,1,1,11
79.0,46.3,5.7,5.0,0,2,11
74.0,1.4,6.8,5.0,0,1,11
78.0,1.4,4.7,5.0,0,1,11
90.0,1.4,1.1,8.0,0,1,11
90.0,10.5,0.0,5.0,0,0,11
85.0,7.5,1.4,7.0,0,1,11
78.0,1.4,1.7,4.0,0,2,11
92.0,16.2,0.2,5.0,1,1,11
84.0,21.5,0.6,7.0,1,1,12
75.0,1.4,3.0,5.0,0,1,12
77.0,1.4,8.0,5.0,0,2,12
74.0,1.4,6.4,7.0,0,1,12
70.0,1.4,3.8,5.0,0,1,12
67.0,1.4,6.7,4.0,0,2,12
72.0,1.4,6.3,4.0,0,2,12
75.0,1.4,4.2,5.0,0,1,12
78.0,46.8,6.8,5.0,0,2,12
82.0,1.4,2.6,6.0,0,1,12
86.0,1.2,0.9,4.0,1,1,12
88.0,33.1,1.0,5.0,1,1,12
84.0,10.1,0.0,4.0,0,1,12
86.0,0.2,0.0,3.0,0,2,12
77.0,1.4,4.3,6.0,0,1,12
93.0,1.4,0.5,4.0,1,1,12
88.0,69.2,0.5,6.0,0,1,12
83.0,0.8,2.4,4.0,0,1,12
83.0,9.2,1.2,4.0,0,1,12
96.0,5.2,0.0,5.0,1,0,12
94.0,17.0,0.1,3.0,0,0,12
82.0,14.0,6.5,4.0,0,1,12
78.0,1.4,1.8,4.0,0,1,12
74.0,1.4,7.1,6.0,0,1,12
70.0,1.4,8.0,7.0,0,2,12
73.0,1.4,6.0,5.0,0,1,12
80.0,1.4,0.3,3.0,0,1,12
79.0,4.5,1.4,4.0,0,1,12
72.0,1.4,2.5,3.0,0,1,12
78.0,1.4,0.0,2.0,0,1,12
85.0,1.6,5.5,4.0,0,2,12
80.0,21.3,8.0,6.0,0,2,1
75.0,1.4,6.9,5.0,0,2,1
78.0,1.4,4.3,5.0,0,1,1
76.0,1.4,4.8,5.0,0,1,1
72.0,0.3,1.8,7.0,0,0,1
74.0,1.4,2.1,6.0,0,1,1
78.0,1.4,0.0,3.0,0,0,1
77.0,1.4,2.5,4.0,0,2,1
80.0,1.4,4.3,4.0,0,2,1
70.0,1.4,5.1,4.0,0,1,1
77.0,0.3,0.7,6.0,0,1,1
68.0,0.2,1.1,7.0,0,1,1
81.0,1.5,3.8,4.0,0,1,1
87.0,12.2,3.4,4.0,0,1,1
93.0,9.7,1.7,5.0,0,1,1
76.0,19.3,2.1,6.0,0,1,1
87.0,1.4,0.0,3.0,0,1,1
92.0,2.3,0.0,2.0,0,1,1
84.0,6.0,0.0,5.0,0,1,1
84.0,1.3,2.0,9.0,0,1,1
82.0,6.2,0.7,4.0,0,1,1
89.0,4.5,0.0,6.0,0,1,1
84.0,1.5,3.6,4.0,0,1,1
84.0,7.8,4.4,4.0,0,2,1
85.0,26.0,0.1,5.0,0,0,1
83.0,1.4,1.6,6.0,0,1,1
76.0,4.2,1.9,5.0,0,1,1
90.0,1.3,0.8,5.0,0,0,1
86.0,7.6,3.4,4.0,0,1,1
90.0,10.7,5.9,4.0,0,1,1
84.0,4.4,1.8,3.0,0,1,1
86.0,3.0,1.8,4.0,0,1,2
83.0,20.6,3.3,4.0,0,1,2
86.0,1.4,6.3,5.0,0,1,2
